Observed Water Content,Fitted Water Content,"Suction, h(cm)",SWC_DNN,SWC_ANN,SWC_DNN_2HiddenLayers,SWC_DNN_3HiddenLayers,SWC_DNN_4HiddenLayers,SWC_DNN_5HiddenLayers,SWC_DNN_6HiddenLayers,SWC_DNN_7HiddenLayers,SWC_DNN_8HiddenLayers,SWC_DNN_9HiddenLayers,SWC_DNN_10HiddenLayers
0.099,0.121,76.89,0.10874783471397362,0.10637903893138645,0.10268967096392169,0.10075276657377782,0.10182027274424811,0.10084152103332907,0.10674485064034925,0.10045535064202091,0.11408294022289565,0.1003798918714497,
0.099,0.12,77.46,0.10617509158390952,0.10367935857021379,0.09952118919780033,0.09995285662835038,0.09960084315700615,0.09646082093878373,0.10398721331119046,0.09874729706938684,0.1120312307812754,0.0978309433269226,
0.092,0.11900000000000001,78.598,0.101038957098446,0.09828948072217801,0.09319533636045713,0.08993369190922705,0.09516974071150813,0.09084221791039777,0.09842579157789204,0.09458416229792536,0.10793465092950695,0.09274335394744332,
0.091,0.11800000000000001,79.452,0.09718467124026783,0.09424470161757378,0.08844817998369525,0.0928547722580949,0.09184451839501977,0.08906080316150983,0.09425280248312737,0.08818609540622055,0.10486073570719105,0.08765502166997666,
0.08800000000000001,0.11599999999999999,80.876,0.09075738005273588,0.08750025307676731,0.08053254184081202,0.09195777756318418,0.08629984464134863,0.08600177321136755,0.08729403333544664,0.08571467045167075,0.09973469589437958,0.07399951878972309,
0.084,0.115,81.73,0.08690291939503128,0.0834554958221039,0.07578538000156493,0.08401262561275814,0.08297457862497865,0.08411350678945634,0.08312086397867031,0.08615440051037797,0.09666045292295161,0.0752643900130027,
0.08,0.113,83.15299999999999,0.08048042973199131,0.07671577233099659,0.07327742194598863,0.07444824009907171,0.07743381601071167,0.08096715901337079,0.07933540543402892,0.0819330902715223,0.09153812760007705,0.0768634560808998,
0.079,0.11199999999999999,84.57700000000001,0.07405335704386742,0.07450146655487348,0.07291806689453381,0.0735619518751556,0.07188909855715891,0.07781856069338228,0.07582315854921734,0.0770386161313657,0.08641228443673285,0.07600243731352506,
0.07,0.111,84.861,0.07277150841658207,0.07412326592947407,0.07284639908869234,0.07338520770398131,0.07078331675288291,0.07719063709451877,0.07512431004249975,0.0760625137257693,0.08539003495615559,0.07583071862873599,
0.068,0.11,86.0,0.06763096024307588,0.07260643211379783,0.07255896311739825,0.07267625359964125,0.07004939909117276,0.07467225661717833,0.07382869595250705,0.07214747410718192,0.08128991541397668,0.07514208496934488,
0.079,0.11,86.285,0.06634452312822141,0.07222689864200929,0.07248704403723752,0.0724989194800652,0.07026219566467584,0.07404208247441188,0.07350426803142954,0.0711679740357903,0.08026399514334413,0.07496979818609488,
0.069,0.109,86.854,0.06641085954850638,0.07146913176991013,0.0723434571512353,0.07214478656446287,0.07068704591369462,0.07278398473278191,0.07285750978359185,0.06860893081861114,0.07821573799237112,0.07462562884349976,
0.07,0.109,87.708,0.06841388732201238,0.07033184235099282,0.07212795118507236,0.0716133960040773,0.0713246818112461,0.07089574562329672,0.07188562441657087,0.06926346764537553,0.07514162612058797,0.07410929289232907,
0.07400000000000001,0.10800000000000001,87.993,0.06908227701124735,0.06995230887920428,0.07205603210491163,0.07143598540970844,0.07153747838474919,0.07026556055555987,0.07156137129501981,0.06974081237717912,0.07411577139977785,0.07393695148422703,
0.07,0.10800000000000001,88.56200000000001,0.07041722099468964,0.06919455293207552,0.07191243429393901,0.0710818852690173,0.07196232863376797,0.06900748466387072,0.07047499223817892,0.07069363367084744,0.07206773274821288,0.07238686205864509,
0.07,0.10800000000000001,88.56200000000001,0.07041722099468964,0.06919455293207552,0.07191243429393901,0.0710818852690173,0.07196232863376797,0.06900748466387072,0.07047499223817892,0.07069363367084744,0.07206773274821288,0.07238686205864509,
0.07,0.107,88.84700000000001,0.07108565438380622,0.06881500853531658,0.07184051521377828,0.07090439819985563,0.07217508150738945,0.06837731052110425,0.0699310161118895,0.07117104395247344,0.07104152842834986,0.07149717616893377,
0.07200000000000001,0.107,89.132,0.071820511592971,0.06843546413855764,0.07176859613361754,0.0707270859302204,0.07238788900586293,0.07070304007036413,0.06921224045915743,0.07164833405942501,0.07001584850706617,0.07085156504298834,
0.07,0.107,89.132,0.071820511592971,0.06843546413855764,0.07176859613361754,0.0707270859302204,0.07238788900586293,0.07070304007036413,0.06921224045915743,0.07164833405942501,0.07001584850706617,0.07085156504298834,
